home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
897 kg (112.13 kg),25 ans,28 ans,200 cm,Italy : 47% (7/15) Argentina : 33% (5/15) South Africa : 13% (2/15) New Zealand : 7% (1/15),Italy : 52% (12/23) Argentina : 22% (5/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Scotland : 4% (1/23) England : 4% (1/23),Benetton,934 kg (116.75 kg),29 ans,28 ans,203 cm,Wales : 67% (10/15) England : 13% (2/15) Tonga : 13% (2/15) New Zealand : 7% (1/15),Wales : 65% (15/23) New Zealand : 13% (3/23) England : 13% (3/23) Tonga : 9% (2/23),Scarlets,Stadio Comunale di Monigo,"Saturday, October 1, 2022",18:15,3,2,5,0,2,2,3,0,29_57_77,30_57,5_36_42_54_74,,63_69,63_69,34_39_51,,34 - 23
909 kg (113.63 kg),27 ans,26 ans,203 cm,Wales : 67% (10/15) England : 20% (3/15) New Zealand : 13% (2/15),Wales : 70% (16/23) England : 17% (4/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Dragons,910 kg (113.75 kg),26 ans,26 ans,197 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,Rodney Parade,"Saturday, October 1, 2022",20:35,1,1,4,0,2,2,2,0,46,47,11_14_27_40,,61_74,62_75,8_32,,19 - 20
943 kg (117.88 kg),29 ans,26 ans,201 cm,Scotland : 53% (8/15) South Africa : 20% (3/15) England : 13% (2/15) Fiji : 7% (1/15) Argentina : 7% (1/15),Scotland : 52% (12/23) South Africa : 22% (5/23) England : 13% (3/23) Fiji : 4% (1/23) Argentina : 4% (1/23) Australia : 4% (1/23),Edinburgh,898 kg (112.25 kg),26 ans,25 ans,202 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,The DAM Health Stadium,"Friday, October 7, 2022",20:35,3,2,0,0,3,2,1,0,19_51_59,52_60,,,64_56_35,57_65,74,,19 - 22
886 kg (110.75 kg),28 ans,26 ans,204 cm,Ireland : 60% (9/15) Australia : 27% (4/15) New Zealand : 13% (2/15),Ireland : 70% (16/23) Australia : 17% (4/23) New Zealand : 9% (2/23) Scotland : 4% (1/23),Connacht,903 kg (112.88 kg),29 ans,25 ans,203 cm,Ireland : 73% (11/15) South Africa : 13% (2/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Ireland : 83% (19/23) South Africa : 9% (2/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Munster,The Sportsground,"Friday, October 7, 2022",20:35,3,1,1,0,1,0,2,0,53_7_78,79,61,,23,,39_47,,20 - 11
929 kg (116.13 kg),25 ans,24 ans,202 cm,Italy : 53% (8/15) England : 20% (3/15) Argentina : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) Australia : 7% (1/15),Italy : 65% (15/23) England : 13% (3/23) Australia : 9% (2/23) Argentina : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Zebre,912 kg (114.00 kg),27 ans,26 ans,201 cm,South Africa : 93% (14/15) Samoa : 7% (1/15),South Africa : 96% (22/23) Samoa : 4% (1/23),Stormers,Stadio Sergio Lanfranchi,"Saturday, October 8, 2022",16:00,2,2,2,0,4,4,3,0,41_37,39_42,58_64,,34_4_49_78,5_35_50_79,15_61_67,,20 - 37
939 kg (117.38 kg),27 ans,27 ans,203 cm,Ireland : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 83% (19/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Georgia : 4% (1/23),Leinster,905 kg (113.13 kg),26 ans,26 ans,201 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,RDS Arena,"Saturday, October 8, 2022",18:05,8,7,0,0,5,3,1,0,46_3_68_64_57_75_24_37,4_25_38_47_59_66_70,,,34_53_30_9_72,10_53_73,23,,54 - 34
946 kg (118.25 kg),29 ans,27 ans,203 cm,Wales : 53% (8/15) New Zealand : 20% (3/15) England : 13% (2/15) Tonga : 13% (2/15),Wales : 65% (15/23) England : 13% (3/23) New Zealand : 13% (3/23) Tonga : 9% (2/23),Scarlets,949 kg (118.63 kg),30 ans,27 ans,203 cm,Wales : 67% (10/15) Tonga : 20% (3/15) Moldova : 7% (1/15) Samoa : 7% (1/15),Wales : 74% (17/23) Tonga : 13% (3/23) Moldova : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23),Cardiff,Parc y Scarlets,"Saturday, October 8, 2022",18:15,1,1,1,0,1,1,3,0,71,72,22,,24,25,6_46_51,,10 - 16
928 kg (116.00 kg),27 ans,27 ans,205 cm,Scotland : 53% (8/15) New Zealand : 27% (4/15) Australia : 13% (2/15) Argentina : 7% (1/15),Scotland : 43% (10/23) New Zealand : 17% (4/23) Argentina : 13% (3/23) South Africa : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23),Glasgow,955 kg (119.38 kg),25 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Scotstoun Stadium,"Saturday, October 8, 2022",20:35,5,5,0,0,3,3,0,0,22_6_35_10_47,6_12_23_37_47,,,18_58_75,19_58_76,,,35 - 21
919 kg (114.88 kg),30 ans,28 ans,201 cm,Ireland : 87% (13/15) Australia : 7% (1/15) South Africa : 7% (1/15),Ireland : 83% (19/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23),Ulster,907 kg (113.38 kg),26 ans,26 ans,199 cm,Wales : 73% (11/15) South Africa : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Wales : 78% (18/23) South Africa : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Ireland : 4% (1/23),Ospreys,Kingspan Stadium,"Saturday, October 8, 2022",20:35,7,6,0,0,2,2,1,0,7_22_64_41_1_32_75,2_8_23_34_65_76,,,12_81,13_82,27,,47 - 17
895 kg (111.88 kg),25 ans,26 ans,200 cm,Italy : 53% (8/15) Argentina : 27% (4/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) England : 7% (1/15),Italy : 52% (12/23) Argentina : 26% (6/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23) Scotland : 4% (1/23),Benetton,933 kg (116.63 kg),25 ans,27 ans,198 cm,Wales : 80% (12/15) England : 13% (2/15) Ireland : 7% (1/15),Wales : 74% (17/23) England : 17% (4/23) Ireland : 4% (1/23) South Africa : 4% (1/23),Dragons,Stadio Comunale di Monigo,"Sunday, October 9, 2022",15:45,4,4,2,0,2,2,0,0,12_20_61_69,13_22_62_70,8_50,,46_66,47_66,,,34 - 14
920 kg (115.00 kg),27 ans,28 ans,203 cm,Wales : 67% (10/15) England : 20% (3/15) New Zealand : 13% (2/15),Wales : 70% (16/23) England : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,894 kg (111.75 kg),26 ans,28 ans,200 cm,South Africa : 93% (14/15) Samoa : 7% (1/15),South Africa : 96% (22/23) Samoa : 4% (1/23),Stormers,Swansea.com Stadium,"Friday, October 14, 2022",20:35,1,1,3,0,1,1,3,0,75,76,35_50_68,,53,54,12_29_71,,16 - 16
903 kg (112.88 kg),27 ans,26 ans,204 cm,Ireland : 67% (10/15) Australia : 27% (4/15) New Zealand : 7% (1/15),Ireland : 70% (16/23) Australia : 17% (4/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) England : 4% (1/23),Connacht,897 kg (112.13 kg),27 ans,25 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,The Sportsground,"Friday, October 14, 2022",20:35,0,0,0,0,1,1,1,0,,,,,2,4,76,,0 - 10
919 kg (114.88 kg),28 ans,25 ans,202 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,927 kg (115.88 kg),29 ans,26 ans,201 cm,Ireland : 67% (10/15) South Africa : 13% (2/15) England : 13% (2/15) Australia : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23),Ulster,Emirates Airlines Park,"Saturday, October 15, 2022",14:00,5,3,2,0,5,4,2,0,32_16_75_65_60,17_66_77,7_26,,52_39_41_45_1,2_42_47_53,9_74,,37 - 39
926 kg (115.75 kg),26 ans,28 ans,203 cm,South Africa : 87% (13/15) Congo : 7% (1/15) Australia : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Australia : 4% (1/23),Sharks,926 kg (115.75 kg),29 ans,26 ans,205 cm,Scotland : 47% (7/15) New Zealand : 27% (4/15) Australia : 13% (2/15) South Africa : 7% (1/15) England : 7% (1/15),Scotland : 52% (12/23) New Zealand : 17% (4/23) South Africa : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23) Tonga : 4% (1/23),Glasgow,Hollywoodbets Kings Park,"Saturday, October 15, 2022",16:05,5,3,3,0,2,1,0,0,32_50_83_68_60,33_62_68,12_23_54,,14_42,15,,,40 - 12
939 kg (117.38 kg),30 ans,28 ans,203 cm,Wales : 80% (12/15) Tonga : 13% (2/15) Moldova : 7% (1/15),Wales : 87% (20/23) Tonga : 9% (2/23) Moldova : 4% (1/23),Cardiff,909 kg (113.63 kg),27 ans,27 ans,203 cm,Wales : 47% (7/15) England : 27% (4/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Ireland : 7% (1/15),Wales : 61% (14/23) England : 17% (4/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),Dragons,Cardiff Arms Park,"Saturday, October 15, 2022",18:15,4,4,1,0,2,2,0,0,15_72_12_29,13_16_30_73,71,,49_23,24_50,,,31 - 14
928 kg (116.00 kg),30 ans,26 ans,198 cm,Scotland : 47% (7/15) South Africa : 20% (3/15) England : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) Argentina : 7% (1/15),Scotland : 48% (11/23) South Africa : 22% (5/23) England : 9% (2/23) Australia : 9% (2/23) Fiji : 4% (1/23) Argentina : 4% (1/23) Ireland : 4% (1/23),Edinburgh,906 kg (113.25 kg),28 ans,24 ans,200 cm,Italy : 47% (7/15) Argentina : 20% (3/15) South Africa : 13% (2/15) New Zealand : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15),Italy : 57% (13/23) Argentina : 22% (5/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) Fiji : 4% (1/23),Benetton,The DAM Health Stadium,"Saturday, October 15, 2022",18:15,9,4,0,0,1,0,1,0,41_55_29_39_45_69_49_80_60,40_46_56_70,,,73,,2,,53 - 8
929 kg (116.13 kg),28 ans,26 ans,203 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) Tonga : 7% (1/15),Ireland : 83% (19/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23) United-States : 4% (1/23),Munster,932 kg (116.50 kg),25 ans,29 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Thomond Park,"Saturday, October 15, 2022",20:35,4,4,1,0,2,2,1,0,42_61_28_35,29_36_43_62,21,,50_64,51_65,10,,31 - 17
