match_date_dt,match_date_time_dt,season,home_team,away_team,home_score,away_score,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_pack_weight_kg,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_pack_weight_kg
2022-01-01,2022-01-01 18:15:00,21/22,CONNACHT,MUNSTER,10,8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26,27,198,892,27,25,203,904
2022-01-08,2022-01-08 16:00:00,21/22,EDINBURGH,CARDIFF,34,10,5.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,29,27,198,912,27,28,203,925
2022-01-08,2022-01-08 18:15:00,21/22,GLASGOW,OSPREYS,38,19,5.0,5.0,1.0,0.0,1.0,1.0,4.0,0.0,26,26,203,909,26,26,203,906
2022-01-08,2022-01-08 20:35:00,21/22,MUNSTER,ULSTER,18,13,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,27,25,206,902,29,25,201,924
2022-01-22,2022-01-22 14:00:00,21/22,LIONS,SHARKS,37,47,5.0,3.0,2.0,0.0,6.0,4.0,3.0,0.0,27,26,199,921,25,26,201,909
2022-01-22,2022-01-22 16:05:00,21/22,BULLS,STORMERS,26,30,4.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,24,29,203,916,27,26,200,919
2022-01-28,2022-01-28 20:35:00,21/22,ULSTER,SCARLETS,27,15,4.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,29,25,201,916,26,26,200,921
2022-01-28,2022-01-28 20:35:00,21/22,DRAGONS,BENETTON,13,13,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,26,26,203,918,26,25,200,900
2022-01-29,2022-01-29 14:00:00,21/22,LIONS,BULLS,10,34,1.0,1.0,1.0,0.0,4.0,4.0,2.0,0.0,27,25,199,919,27,27,203,920
2022-01-29,2022-01-29 15:55:00,21/22,CONNACHT,GLASGOW,20,42,2.0,2.0,2.0,0.0,6.0,3.0,2.0,0.0,28,25,198,903,29,26,205,922
2022-01-29,2022-01-29 16:05:00,21/22,SHARKS,STORMERS,22,22,2.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,26,27,201,928,27,25,201,917
2022-01-29,2022-01-29 18:00:00,21/22,ZEBRE,MUNSTER,17,34,2.0,2.0,1.0,0.0,5.0,3.0,1.0,0.0,26,26,202,904,25,24,203,885
2022-01-29,2022-01-29 18:15:00,21/22,OSPREYS,EDINBURGH,23,19,2.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,26,27,197,886,26,25,201,919
2022-01-29,2022-01-29 20:35:00,21/22,CARDIFF,LEINSTER,29,27,2.0,2.0,5.0,0.0,3.0,3.0,2.0,0.0,28,25,201,913,28,26,211,915
2022-02-04,2022-02-04 21:15:00,21/22,ULSTER,CONNACHT,32,12,4.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,28,25,201,931,26,25,201,892
2022-02-05,2022-02-05 14:00:00,21/22,BULLS,LIONS,21,13,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,27,27,203,920,25,24,199,904
2022-02-05,2022-02-05 16:05:00,21/22,STORMERS,SHARKS,20,10,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,29,24,201,914,26,26,201,928
2022-02-11,2022-02-11 19:00:00,21/22,LEINSTER,EDINBURGH,26,7,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,26,26,198,896,25,26,201,926
2022-02-11,2022-02-11 21:15:00,21/22,GLASGOW,MUNSTER,13,11,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,29,25,205,926,27,26,203,902
2022-02-12,2022-02-12 14:00:00,21/22,LIONS,STORMERS,10,32,1.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,26,26,199,911,29,25,201,914
2022-02-12,2022-02-12 16:05:00,21/22,BULLS,SHARKS,22,29,4.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,27,27,203,927,28,26,201,927
2022-02-18,2022-02-18 20:35:00,21/22,MUNSTER,EDINBURGH,34,20,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,28,26,203,894,25,27,201,916
2022-02-19,2022-02-19 18:00:00,21/22,LEINSTER,OSPREYS,29,7,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,26,26,198,901,27,29,198,880
2022-02-19,2022-02-19 20:35:00,21/22,GLASGOW,BENETTON,13,3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29,25,205,926,26,24,200,899
2022-02-19,2022-02-19 20:35:00,21/22,SCARLETS,CONNACHT,23,29,2.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0,28,26,200,906,27,27,201,906
2022-02-20,2022-02-20 15:00:00,21/22,DRAGONS,ULSTER,0,12,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27,26,203,929,26,25,201,906
2022-02-25,2022-02-25 18:30:00,21/22,ZEBRE,BULLS,7,45,1.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,27,25,200,897,27,26,203,927
2022-02-25,2022-02-25 20:35:00,21/22,LEINSTER,LIONS,21,13,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,29,25,211,926,25,23,199,914
