home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
920 kg (115.00 kg),27 ans,26 ans,198 cm,Wales : 60% (9/15) New Zealand : 20% (3/15) Argentina : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15),Wales : 70% (16/23) New Zealand : 13% (3/23) England : 9% (2/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Scarlets,928 kg (116.00 kg),27 ans,29 ans,203 cm,Wales : 93% (14/15) Samoa : 7% (1/15),Wales : 87% (20/23) Samoa : 4% (1/23) Moldova : 4% (1/23) England : 4% (1/23),Cardiff,Parc y Scarlets,"Saturday, April 2, 2022",20:35,4,3,3,0,2,2,2,0,44_20_31_51,21_44_52,6_49_73,,77_12,14_78,3_28,,35 - 20
942 kg (117.75 kg),27 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,929 kg (116.13 kg),27 ans,26 ans,205 cm,Scotland : 47% (7/15) Australia : 20% (3/15) South Africa : 13% (2/15) England : 13% (2/15) New Zealand : 7% (1/15),Scotland : 48% (11/23) New Zealand : 17% (4/23) England : 13% (3/23) Australia : 13% (3/23) South Africa : 9% (2/23),Glasgow,DHL Stadium,"Friday, April 22, 2022",18:30,4,3,2,0,1,1,0,0,79_52_55_34,35_56_81,30_38,,18,19,,,32 - 7
910 kg (113.75 kg),30 ans,26 ans,198 cm,Ireland : 93% (14/15) South Africa : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) England : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Ulster,911 kg (113.88 kg),26 ans,27 ans,203 cm,Ireland : 67% (10/15) South Africa : 20% (3/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 74% (17/23) South Africa : 17% (4/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,Kingspan Stadium,"Friday, April 22, 2022",20:35,2,2,1,0,2,1,4,0,46_74,48_74,7,,21_27,22,11_43_59_79,,17 - 24
939 kg (117.38 kg),27 ans,26 ans,201 cm,Scotland : 47% (7/15) England : 20% (3/15) South Africa : 13% (2/15) Fiji : 13% (2/15) Argentina : 7% (1/15),Scotland : 43% (10/23) England : 22% (5/23) South Africa : 9% (2/23) Fiji : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Ireland : 4% (1/23),Edinburgh,944 kg (118.00 kg),25 ans,25 ans,202 cm,Italy : 73% (11/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Italy : 65% (15/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23),Zebre,The DAM Health Stadium,"Friday, April 22, 2022",20:45,4,3,1,0,4,2,0,1,51_38_0_60,1_40_52,77,,41_34_73_13,42_74,,13,29 - 26
931 kg (116.38 kg),25 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,909 kg (113.63 kg),26 ans,26 ans,200 cm,Italy : 40% (6/15) South Africa : 33% (5/15) Argentina : 20% (3/15) Australia : 7% (1/15),Italy : 61% (14/23) South Africa : 22% (5/23) Argentina : 13% (3/23) Australia : 4% (1/23),Benetton,Loftus Versfeld,"Saturday, April 23, 2022",14:00,6,5,2,0,2,2,5,0,58_24_73_40_48_79,41_49_60_74_80,46_68,,10_75,11_76,6_18_32_44_64,,46 - 29
922 kg (115.25 kg),25 ans,26 ans,203 cm,Wales : 80% (12/15) New Zealand : 7% (1/15) England : 7% (1/15) Argentina : 7% (1/15),Wales : 87% (20/23) New Zealand : 4% (1/23) England : 4% (1/23) Argentina : 4% (1/23),Dragons,932 kg (116.50 kg),27 ans,27 ans,198 cm,Wales : 67% (10/15) England : 13% (2/15) New Zealand : 7% (1/15) Argentina : 7% (1/15) Tonga : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) New Zealand : 4% (1/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Scarlets,Rodney Parade,"Saturday, April 23, 2022",16:00,3,2,0,0,6,4,0,0,34_60_49,34_61,,,28_11_75_14_79_65,15_66_76_81,,,19 - 38
902 kg (112.75 kg),25 ans,25 ans,202 cm,South Africa : 87% (13/15) Congo : 13% (2/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,886 kg (110.75 kg),26 ans,27 ans,201 cm,Ireland : 73% (11/15) New Zealand : 13% (2/15) Australia : 13% (2/15),Ireland : 74% (17/23) New Zealand : 9% (2/23) Australia : 9% (2/23) Tonga : 4% (1/23) South Africa : 4% (1/23),Connacht,Emirates Airlines Park,"Saturday, April 23, 2022",16:05,4,2,2,0,3,2,4,1,53_65_69_39,54_70,19_46,,2_61_9,2_62,42_50_59_74,9,30 - 33
937 kg (117.13 kg),27 ans,28 ans,203 cm,Wales : 87% (13/15) Moldova : 7% (1/15) Samoa : 7% (1/15),Wales : 91% (21/23) Moldova : 4% (1/23) Samoa : 4% (1/23),Cardiff,913 kg (114.13 kg),26 ans,28 ans,203 cm,Wales : 73% (11/15) England : 13% (2/15) New Zealand : 13% (2/15),Wales : 70% (16/23) England : 13% (3/23) New Zealand : 13% (3/23) South Africa : 4% (1/23),Ospreys,Cardiff Arms Park,"Saturday, April 23, 2022",18:15,0,0,2,0,3,2,1,0,,,27_43,,53_60_65,60_54,47,,6 - 22
955 kg (119.38 kg),28 ans,26 ans,201 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,920 kg (115.00 kg),24 ans,24 ans,203 cm,Ireland : 100% (15/15),Ireland : 96% (22/23) Australia : 4% (1/23),Leinster,Hollywoodbets Kings Park,"Saturday, April 23, 2022",18:15,4,4,0,0,2,2,3,0,47_64_38_19,20_40_49_65,,,16_35,17_36,27_42_52,,28 - 23
924 kg (115.50 kg),26 ans,27 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,918 kg (114.75 kg),29 ans,26 ans,205 cm,Scotland : 60% (9/15) England : 13% (2/15) Australia : 13% (2/15) New Zealand : 13% (2/15),Scotland : 57% (13/23) New Zealand : 17% (4/23) Australia : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23),Glasgow,Loftus Versfeld,"Friday, April 29, 2022",19:00,4,3,1,0,2,1,1,1,58_8_42_61,9_43_58,27,,73_5,73,20,5,29 - 17
