match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2022-10-01,BENETTON,SCARLETS,2.0,29_57,2.0,63_69,5.0,5_36_42_54_74,3.0,34_39_51,2.0,30_57,2.0,63_69,urc,pool stage,BENETTON_SCARLETS_2022-10-01,34,23,11,897,934,25,28,29,28
2022-10-01,DRAGONS,SHARKS,1.0,46,2.0,61_74,4.0,11_14_27_40,2.0,8_32,1.0,47,2.0,62_75,urc,pool stage,DRAGONS_SHARKS_2022-10-01,19,20,-1,908,896,27,26,26,26
2022-10-02,HARLEQUINS,NORTHAMPTON,5.0,3_47_63_6_24,4.0,33_55_67_74,0.0,,1.0,20,5.0,5_7_25_49_64,3.0,34_68_75,premiership,pool stage,HARLEQUINS_NORTHAMPTON_2022-10-02,35,29,6,882,935,26,25,25,26
2022-10-02,MONTPELLIER,TOULOUSE,2.0,27_8,1.0,3,1.0,53,4.0,13_33_50_59,2.0,9_28,1.0,4,top-14,pool stage,MONTPELLIER_TOULOUSE_2022-10-02,17,19,-2,914,950,27,26,26,24
2022-10-07,CONNACHT,MUNSTER,2.0,53_7,1.0,23,1.0,61,2.0,39_47,1.0,79,0.0,,urc,pool stage,CONNACHT_MUNSTER_2022-10-07,20,11,9,886,903,28,26,29,25
2022-10-07,BRISTOL,EXETER,2.0,61_4,7.0,72_26_50_18_55_63_68,0.0,,1.0,12,2.0,5_62,6.0,19_27_51_57_64_69,premiership,pool stage,BRISTOL_EXETER_2022-10-07,14,50,-36,921,945,27,27,27,27
2022-10-07,EDINBURGH,LIONS,3.0,19_51_59,3.0,64_56_35,0.0,,1.0,74,2.0,52_60,2.0,57_65,urc,pool stage,EDINBURGH_LIONS_2022-10-07,19,22,-3,934,898,29,26,26,25
2022-10-08,ZEBRE,STORMERS,2.0,41_37,4.0,34_4_49_78,2.0,58_64,3.0,15_61_67,2.0,39_42,4.0,5_35_50_79,urc,pool stage,ZEBRE_STORMERS_2022-10-08,20,37,-17,929,912,25,24,27,26
2022-10-08,LEICESTER,SALE,1.0,28,4.0,47_32_10_51,3.0,6_16_22,0.0,,1.0,30,3.0,33_48_53,premiership,pool stage,LEICESTER_SALE_2022-10-08,16,26,-10,948,913,29,28,27,26
2022-10-08,ULSTER,OSPREYS,7.0,7_22_64_41_1_32_75,2.0,12_81,0.0,,1.0,27,6.0,2_8_23_34_65_76,2.0,13_82,urc,pool stage,ULSTER_OSPREYS_2022-10-08,47,17,30,919,896,30,28,26,26
