home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
925 kg (115.63 kg),27 ans,25 ans,203 cm,Wales : 73% (11/15) Tonga : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) Tonga : 9% (2/23) South Africa : 4% (1/23),Cardiff,901 kg (112.63 kg),27 ans,28 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Cardiff Arms Park,"Friday, November 24, 2023",20:35,4,4,1,0,3,3,1,0,33_53_81_23,24_34_54_84,63,,4_12_50,5_13_51,27,,31 - 24
892 kg (111.50 kg),30 ans,27 ans,201 cm,Scotland : 53% (8/15) South Africa : 27% (4/15) England : 13% (2/15) Ireland : 7% (1/15),Scotland : 39% (9/23) South Africa : 26% (6/23) England : 22% (5/23) Ireland : 4% (1/23) Canada : 4% (1/23) New Zealand : 4% (1/23),Edinburgh,880 kg (110.00 kg),25 ans,26 ans,201 cm,Italy : 47% (7/15) England : 20% (3/15) Argentina : 13% (2/15) Zimbabwe : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),Italy : 48% (11/23) Argentina : 13% (3/23) England : 13% (3/23) Zimbabwe : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) Scotland : 4% (1/23),Benetton,Hive Stadium,"Friday, November 24, 2023",20:35,3,2,1,0,3,3,1,0,13_2_38,3_40,54,,31_42_67,32_43_67,35,,22 - 24
951 kg (118.88 kg),25 ans,27 ans,200 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,898 kg (112.25 kg),25 ans,24 ans,202 cm,Italy : 73% (11/15) Argentina : 13% (2/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Italy : 65% (15/23) Argentina : 22% (5/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Zebre,Emirates Airline Park,"Saturday, November 25, 2023",13:55,9,8,0,0,3,2,0,0,79_15_60_9_71_36_49_4_28,5_16_30_37_51_61_72_80,,,33_44_56,34_45,,,61 - 19
933 kg (116.63 kg),27 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,902 kg (112.75 kg),27 ans,26 ans,201 cm,Ireland : 67% (10/15) Australia : 13% (2/15) New Zealand : 13% (2/15) England : 7% (1/15),Ireland : 78% (18/23) Australia : 9% (2/23) New Zealand : 9% (2/23) England : 4% (1/23),Connacht,Loftus Versfeld,"Saturday, November 25, 2023",16:00,7,6,2,0,3,3,2,0,11_32_19_56_65_38_72,20_33_39_57_66_73,9_28,,46_77_34,35_46_77,7_31,,53 - 27
905 kg (113.13 kg),27 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,912 kg (114.00 kg),28 ans,26 ans,198 cm,Wales : 73% (11/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23),Dragons,Hollywoodbets Kings Park,"Saturday, November 25, 2023",18:05,10,8,1,0,2,2,0,0,47_60_20_78_42_11_75_63_55_72,13_48_55_62_64_72_76_80,7,,27_55,28_56,,,69 - 14
910 kg (113.75 kg),27 ans,26 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,910 kg (113.75 kg),28 ans,26 ans,206 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) France : 7% (1/15),Ireland : 91% (21/23) South Africa : 4% (1/23) France : 4% (1/23),Munster,Aviva Stadium,"Saturday, November 25, 2023",19:30,3,3,0,0,1,1,3,0,35_24_65,25_36_66,,,5,6,13_52_73,,21 - 16
925 kg (115.63 kg),28 ans,28 ans,204 cm,Scotland : 60% (9/15) Australia : 20% (3/15) New Zealand : 13% (2/15) Argentina : 7% (1/15),Scotland : 52% (12/23) Australia : 13% (3/23) New Zealand : 9% (2/23) Argentina : 9% (2/23) South Africa : 9% (2/23) England : 4% (1/23) Tonga : 4% (1/23),Glasgow,894 kg (111.75 kg),25 ans,28 ans,199 cm,Ireland : 80% (12/15) England : 20% (3/15),Ireland : 83% (19/23) England : 13% (3/23) South Africa : 4% (1/23),Ulster,Scotstoun Stadium,"Saturday, November 25, 2023",20:35,5,4,0,0,2,2,2,0,41_20_50_58_70,21_42_59_71,,,5_10,6_11,56_63,,33 - 20
912 kg (114.00 kg),26 ans,25 ans,204 cm,Wales : 73% (11/15) South Africa : 7% (1/15) Australia : 7% (1/15) Congo : 7% (1/15) England : 7% (1/15),Wales : 78% (18/23) South Africa : 9% (2/23) Australia : 4% (1/23) Congo : 4% (1/23) England : 4% (1/23),Ospreys,918 kg (114.75 kg),26 ans,26 ans,198 cm,Wales : 60% (9/15) England : 20% (3/15) Scotland : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Wales : 70% (16/23) England : 17% (4/23) Scotland : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Scarlets,Swansea.com Stadium,"Sunday, November 26, 2023",16:00,4,4,1,0,0,0,3,0,50_7_18_74,9_19_52_75,34,,,,4_12_26,,31 - 9
909 kg (113.63 kg),26 ans,26 ans,206 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) France : 4% (1/23),Munster,924 kg (115.50 kg),27 ans,26 ans,199 cm,Scotland : 47% (7/15) South Africa : 20% (3/15) England : 7% (1/15) Argentina : 7% (1/15) Tonga : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Scotland : 48% (11/23) South Africa : 17% (4/23) New Zealand : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Glasgow,Musgrave Park,"Friday, December 1, 2023",20:35,6,5,0,0,5,1,0,1,15_7_12_36_64_48,7_16_37_49_65,,,41_26_54_78_61,78,,61,40 - 29
925 kg (115.63 kg),26 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,903 kg (112.88 kg),27 ans,26 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Loftus Versfeld,"Saturday, December 2, 2023",14:00,6,4,2,0,1,0,1,1,39_71_62_32_13_22,14_22_63_72,10_66,,45,,2,45,44 - 10
906 kg (113.25 kg),25 ans,26 ans,203 cm,Wales : 80% (12/15) South Africa : 7% (1/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) South Africa : 4% (1/23) Tonga : 4% (1/23) Samoa : 4% (1/23),Cardiff,923 kg (115.38 kg),26 ans,26 ans,198 cm,Wales : 67% (10/15) England : 13% (2/15) Scotland : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Wales : 70% (16/23) England : 17% (4/23) Scotland : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Scarlets,Cardiff Arms Park,"Saturday, December 2, 2023",16:00,2,2,3,0,5,2,0,0,3_10,4_11,42_60_76,,23_12_39_61_70,13_40,,,23 - 29
951 kg (118.88 kg),25 ans,27 ans,200 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,913 kg (114.13 kg),28 ans,26 ans,198 cm,Wales : 80% (12/15) England : 13% (2/15) South Africa : 7% (1/15),Wales : 78% (18/23) England : 13% (3/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Dragons,Emirates Airline Park,"Saturday, December 2, 2023",16:05,6,5,3,0,3,3,1,0,70_57_43_76_11_28,29_44_59_72_78,22_33_53,,66_5_48,6_50_67,39,,49 - 24
897 kg (112.13 kg),28 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,913 kg (114.13 kg),26 ans,24 ans,202 cm,Italy : 67% (10/15) Argentina : 20% (3/15) New Zealand : 7% (1/15) South Africa : 7% (1/15),Italy : 65% (15/23) Argentina : 22% (5/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Zebre,Danie Craven Stadium,"Saturday, December 2, 2023",18:15,5,3,0,0,1,1,0,0,13_67_74_36_44,14_45_75,,,41,42,,,31 - 7
916 kg (114.50 kg),27 ans,28 ans,199 cm,Ireland : 73% (11/15) England : 20% (3/15) South Africa : 7% (1/15),Ireland : 78% (18/23) England : 13% (3/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23),Ulster,931 kg (116.38 kg),28 ans,27 ans,200 cm,Scotland : 33% (5/15) South Africa : 27% (4/15) England : 20% (3/15) Canada : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),Scotland : 39% (9/23) England : 22% (5/23) South Africa : 17% (4/23) Ireland : 9% (2/23) Canada : 4% (1/23) Fiji : 4% (1/23) Wales : 4% (1/23),Edinburgh,Kingspan Stadium,"Saturday, December 2, 2023",18:15,4,2,0,0,3,3,2,0,5_28_80_73,6_81,,,59_24_69,25_60_71,16_40,,24 - 27
909 kg (113.63 kg),26 ans,27 ans,201 cm,Ireland : 73% (11/15) New Zealand : 13% (2/15) Australia : 13% (2/15),Ireland : 78% (18/23) Australia : 13% (3/23) New Zealand : 9% (2/23),Connacht,920 kg (115.00 kg),26 ans,27 ans,203 cm,Ireland : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster,The Sportsground,"Saturday, December 2, 2023",20:35,3,2,1,0,4,2,0,0,63_69_8,65_70,22,,55_50_35_81,35_51,,,22 - 24
881 kg (110.13 kg),26 ans,26 ans,198 cm,Italy : 47% (7/15) England : 20% (3/15) Argentina : 13% (2/15) New Zealand : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),Italy : 61% (14/23) England : 13% (3/23) Argentina : 9% (2/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Tonga : 4% (1/23),Benetton,889 kg (111.13 kg),25 ans,24 ans,204 cm,Wales : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 87% (20/23) South Africa : 9% (2/23) England : 4% (1/23),Ospreys,Stadio Comunale di Monigo,"Saturday, December 2, 2023",20:35,2,1,2,0,2,0,1,0,16_75,17,64_68,,59_41,,12,,18 - 13
905 kg (113.13 kg),29 ans,27 ans,199 cm,Ireland : 80% (12/15) England : 20% (3/15),Ireland : 83% (19/23) England : 13% (3/23) South Africa : 4% (1/23),Ulster,890 kg (111.25 kg),27 ans,27 ans,204 cm,Ireland : 60% (9/15) Australia : 20% (3/15) New Zealand : 13% (2/15) South Africa : 7% (1/15),Ireland : 74% (17/23) Australia : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Connacht,Kingspan Stadium,"Friday, December 22, 2023",20:35,2,2,2,0,3,2,0,0,2_19,3_20,50_65,,59_8_68,10_69,,,20 - 19
933 kg (116.63 kg),28 ans,27 ans,205 cm,Scotland : 80% (12/15) Tonga : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Scotland : 61% (14/23) South Africa : 13% (3/23) Australia : 9% (2/23) New Zealand : 9% (2/23) Tonga : 4% (1/23) England : 4% (1/23),Glasgow,926 kg (115.75 kg),30 ans,27 ans,201 cm,Scotland : 33% (5/15) South Africa : 27% (4/15) England : 20% (3/15) Canada : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),Scotland : 39% (9/23) South Africa : 22% (5/23) England : 22% (5/23) Canada : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),Edinburgh,Scotstoun Stadium,"Friday, December 22, 2023",20:35,3,2,1,0,1,1,1,0,73_17_66,67_74,5,,33,33,46,,22 - 10
905 kg (113.13 kg),26 ans,26 ans,202 cm,Italy : 60% (9/15) Argentina : 27% (4/15) England : 7% (1/15) Tonga : 7% (1/15),Italy : 74% (17/23) Argentina : 17% (4/23) England : 4% (1/23) Tonga : 4% (1/23),Zebre,884 kg (110.50 kg),25 ans,26 ans,198 cm,Italy : 47% (7/15) England : 20% (3/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),Italy : 52% (12/23) England : 13% (3/23) Argentina : 9% (2/23) Tonga : 9% (2/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Benetton,Stadio Sergio Lanfranchi,"Saturday, December 23, 2023",14:00,3,3,1,0,4,4,1,0,2_80_60,4_61_81,9,,12_37_25_43,13_26_38_44,76,,24 - 31
903 kg (112.88 kg),29 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,925 kg (115.63 kg),26 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,DHL Stadium,"Saturday, December 23, 2023",18:00,2,2,3,0,3,1,1,0,24_59,25_60,4_19_44,,12_16_51,52,72,,26 - 20
913 kg (114.13 kg),24 ans,26 ans,201 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Tonga : 4% (1/23),Cardiff,915 kg (114.38 kg),28 ans,27 ans,198 cm,Wales : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) England : 9% (2/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Dragons,Cardiff Arms Park,"Tuesday, December 26, 2023",16:00,9,5,0,0,3,2,0,1,2_10_47_22_30_17_35_14_76,3_11_15_23_37,,,7_51_58,7_52,,58,55 - 21
916 kg (114.50 kg),26 ans,26 ans,198 cm,Wales : 73% (11/15) England : 13% (2/15) Scotland : 7% (1/15) New Zealand : 7% (1/15),Wales : 78% (18/23) England : 13% (3/23) Scotland : 4% (1/23) New Zealand : 4% (1/23),Scarlets,905 kg (113.13 kg),25 ans,25 ans,204 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Australia : 7% (1/15),Wales : 91% (21/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,Parc y Scarlets,"Tuesday, December 26, 2023",18:15,1,0,2,0,3,2,1,0,41,,68_79,,48_81_74,49_82,59,,11 - 25
903 kg (112.88 kg),26 ans,26 ans,206 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) France : 4% (1/23),Munster,923 kg (115.38 kg),27 ans,26 ans,198 cm,Ireland : 93% (14/15) Australia : 7% (1/15),Ireland : 91% (21/23) Australia : 4% (1/23) South Africa : 4% (1/23),Leinster,Thomond Park,"Tuesday, December 26, 2023",20:35,0,0,1,0,0,0,3,0,,,51,,,,1_15_80,,3 - 9
923 kg (115.38 kg),27 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) New Zealand : 4% (1/23),Sharks,953 kg (119.13 kg),25 ans,25 ans,199 cm,South Africa : 87% (13/15) Zimbabwe : 7% (1/15) Congo : 7% (1/15),South Africa : 91% (21/23) Zimbabwe : 4% (1/23) Congo : 4% (1/23),Lions,Hollywoodbets Kings Park,"Saturday, January 6, 2024",16:00,2,1,1,0,2,1,2,1,32_21,22,12,,76_52,78,8_59,52,18 - 20
899 kg (112.38 kg),25 ans,26 ans,201 cm,Italy : 67% (10/15) Zimbabwe : 7% (1/15) Fiji : 7% (1/15) Tonga : 7% (1/15) Argentina : 7% (1/15) South Africa : 7% (1/15),Italy : 61% (14/23) Argentina : 17% (4/23) South Africa : 9% (2/23) Zimbabwe : 4% (1/23) Fiji : 4% (1/23) Tonga : 4% (1/23),Benetton,904 kg (113.00 kg),27 ans,24 ans,202 cm,Italy : 67% (10/15) Argentina : 27% (4/15) England : 7% (1/15),Italy : 74% (17/23) Argentina : 17% (4/23) England : 4% (1/23) New Zealand : 4% (1/23),Zebre,Stadio Comunale di Monigo,"Saturday, December 30, 2023",14:30,6,3,0,0,2,2,0,0,3_44_58_12_38_62,4_13_59,,,55_22,23_56,,,36 - 14
932 kg (116.50 kg),30 ans,27 ans,201 cm,Scotland : 47% (7/15) South Africa : 27% (4/15) Canada : 7% (1/15) Fiji : 7% (1/15) England : 7% (1/15) Ireland : 7% (1/15),Scotland : 43% (10/23) South Africa : 22% (5/23) England : 17% (4/23) Canada : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),Edinburgh,920 kg (115.00 kg),28 ans,27 ans,205 cm,Scotland : 67% (10/15) New Zealand : 20% (3/15) England : 7% (1/15) Australia : 7% (1/15),Scotland : 61% (14/23) New Zealand : 13% (3/23) South Africa : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23),Glasgow,Scottish Gas Murrayfield,"Saturday, December 30, 2023",16:00,2,0,3,0,2,2,0,0,71_26,,52_64_76,,3_59,4_60,,,19 - 14
901 kg (112.63 kg),29 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,901 kg (112.63 kg),26 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) New Zealand : 4% (1/23),Sharks,DHL Stadium,"Saturday, December 30, 2023",18:00,1,1,3,0,2,1,1,0,15,17,32_45_60,,57_36,58,52,,16 - 15
910 kg (113.75 kg),28 ans,27 ans,201 cm,Ireland : 47% (7/15) Australia : 20% (3/15) New Zealand : 20% (3/15) England : 7% (1/15) South Africa : 7% (1/15),Ireland : 65% (15/23) Australia : 13% (3/23) New Zealand : 13% (3/23) England : 4% (1/23) South Africa : 4% (1/23),Connacht,907 kg (113.38 kg),27 ans,26 ans,206 cm,Ireland : 93% (14/15) France : 7% (1/15),Ireland : 91% (21/23) France : 4% (1/23) England : 4% (1/23),Munster,The Sportsground,"Monday, January 1, 2024",16:00,1,1,5,0,0,0,3,0,76,78,16_45_59_66_71,,,,22_31_57,,22 - 9
909 kg (113.63 kg),26 ans,25 ans,204 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Australia : 7% (1/15),Wales : 87% (20/23) South Africa : 4% (1/23) Australia : 4% (1/23) Scotland : 4% (1/23),Ospreys,921 kg (115.13 kg),27 ans,26 ans,203 cm,Wales : 80% (12/15) Tonga : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 83% (19/23) Tonga : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23),Cardiff,The Brewery Field,"Monday, January 1, 2024",16:00,4,1,1,1,2,1,3,0,57_7_76_48,59,63,48,19_15,20,27_33_52,,27 - 21
904 kg (113.00 kg),29 ans,25 ans,198 cm,Wales : 80% (12/15) England : 13% (2/15) Argentina : 7% (1/15),Wales : 83% (19/23) England : 13% (3/23) Argentina : 4% (1/23),Dragons,920 kg (115.00 kg),26 ans,27 ans,200 cm,Wales : 80% (12/15) Scotland : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) Scotland : 4% (1/23) Tonga : 4% (1/23) England : 4% (1/23) South Africa : 4% (1/23),Scarlets,Rodney Parade,"Monday, January 1, 2024",18:15,1,1,2,0,2,1,0,0,35,36,4_48,,20_68,21,,,13 - 12
915 kg (114.38 kg),26 ans,27 ans,203 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,915 kg (114.38 kg),29 ans,28 ans,199 cm,Ireland : 60% (9/15) England : 27% (4/15) South Africa : 13% (2/15),Ireland : 70% (16/23) England : 17% (4/23) South Africa : 9% (2/23) Zimbabwe : 4% (1/23),Ulster,RDS Arena,"Monday, January 1, 2024",18:15,3,3,0,0,3,2,1,0,11_61_23,12_24_63,,,4_34_7,5_36,55,,21 - 22
912 kg (114.00 kg),26 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,944 kg (118.00 kg),27 ans,25 ans,202 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Zimbabwe : 4% (1/23),Lions,Loftus Versfeld,"Saturday, January 27, 2024",14:00,3,3,3,0,3,2,2,0,24_58_42,25_42_58,12_37_78,,4_17_62,18_63,48_73,,30 - 28
911 kg (113.88 kg),26 ans,25 ans,198 cm,Wales : 53% (8/15) South Africa : 13% (2/15) New Zealand : 13% (2/15) England : 7% (1/15) Scotland : 7% (1/15) Tonga : 7% (1/15),Wales : 61% (14/23) England : 13% (3/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Scotland : 4% (1/23) Tonga : 4% (1/23),Scarlets,934 kg (116.75 kg),26 ans,27 ans,207 cm,Ireland : 67% (10/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) France : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) France : 4% (1/23) England : 4% (1/23),Munster,Parc y Scarlets,"Friday, February 16, 2024",20:35,1,1,0,0,6,6,0,0,49,50,,,65_10_23_72_62_76,11_24_62_66_73_77,,,7 - 42
925 kg (115.63 kg),26 ans,24 ans,198 cm,Italy : 80% (12/15) Argentina : 20% (3/15),Italy : 74% (17/23) Argentina : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Zebre,927 kg (115.88 kg),30 ans,26 ans,201 cm,Scotland : 40% (6/15) England : 27% (4/15) South Africa : 13% (2/15) Fiji : 7% (1/15) Ireland : 7% (1/15) Argentina : 7% (1/15),Scotland : 43% (10/23) England : 26% (6/23) South Africa : 13% (3/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23),Edinburgh,Stadio Sergio Lanfranchi,"Friday, February 16, 2024",20:35,1,1,4,0,3,2,1,1,2,3,26_42_58_80,,45_72_68,46_74,32,68,19 - 24
958 kg (119.75 kg),27 ans,25 ans,202 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Zimbabwe : 4% (1/23),Lions,903 kg (112.88 kg),25 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Emirates Airline Park,"Saturday, February 17, 2024",14:00,1,1,1,0,4,1,1,0,70,71,1,,73_19_51_66,68,60,,10 - 25
902 kg (112.75 kg),25 ans,25 ans,203 cm,Ireland : 93% (14/15) South Africa : 7% (1/15),Ireland : 91% (21/23) South Africa : 4% (1/23) Australia : 4% (1/23),Leinster,912 kg (114.00 kg),28 ans,25 ans,202 cm,Argentina : 20% (3/15) Italy : 20% (3/15) Tonga : 13% (2/15) England : 13% (2/15) South Africa : 7% (1/15) Zimbabwe : 7% (1/15) New Zealand : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15),Italy : 48% (11/23) Argentina : 13% (3/23) Tonga : 9% (2/23) England : 9% (2/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) Fiji : 4% (1/23),Benetton,RDS Arena,"Saturday, February 17, 2024",16:00,7,6,0,0,2,1,2,0,42_9_77_13_33_70_64,9_14_34_44_70_78,,,1_35,2,25_39,,47 - 18
935 kg (116.88 kg),26 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Congo : 4% (1/23),Sharks,903 kg (112.88 kg),28 ans,26 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Hollywoodbets Kings Park,"Saturday, February 17, 2024",16:05,3,3,0,0,3,2,2,0,30_57_75,30_58_76,,,16_22_48,23_49,32_70,,21 - 25
945 kg (118.13 kg),27 ans,26 ans,203 cm,Wales : 67% (10/15) England : 13% (2/15) Tonga : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 70% (16/23) England : 13% (3/23) Tonga : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Cardiff,893 kg (111.63 kg),27 ans,27 ans,201 cm,Ireland : 80% (12/15) England : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15),Ireland : 83% (19/23) New Zealand : 9% (2/23) England : 4% (1/23) South Africa : 4% (1/23),Connacht,Cardiff Arms Park,"Saturday, February 17, 2024",18:15,2,1,0,0,1,1,3,0,46_17,18,,,61,62,4_42_66,,12 - 16
917 kg (114.63 kg),26 ans,25 ans,207 cm,Scotland : 53% (8/15) New Zealand : 20% (3/15) Argentina : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15),Scotland : 57% (13/23) South Africa : 17% (4/23) New Zealand : 13% (3/23) Argentina : 9% (2/23) England : 4% (1/23),Glasgow,919 kg (114.88 kg),29 ans,24 ans,197 cm,Wales : 93% (14/15) England : 7% (1/15),Wales : 91% (21/23) England : 4% (1/23) New Zealand : 4% (1/23),Dragons,Scotstoun Stadium,"Saturday, February 17, 2024",20:35,6,5,0,0,1,1,0,0,44_3_75_70_0_36,1_3_38_44_76,,,64,65,,,40 - 7
882 kg (110.25 kg),28 ans,24 ans,196 cm,Wales : 73% (11/15) South Africa : 20% (3/15) Australia : 7% (1/15),Wales : 74% (17/23) South Africa : 13% (3/23) Australia : 4% (1/23) Ireland : 4% (1/23) Scotland : 4% (1/23),Ospreys,903 kg (112.88 kg),28 ans,26 ans,198 cm,Ireland : 93% (14/15) England : 7% (1/15),Ireland : 91% (21/23) England : 4% (1/23) South Africa : 4% (1/23),Ulster,Swansea.com Stadium,"Sunday, February 18, 2024",16:00,1,1,3,0,2,2,1,0,64,66,29_36_55,,33_57,34_59,75,,19 - 17
920 kg (115.00 kg),31 ans,26 ans,201 cm,Scotland : 40% (6/15) England : 27% (4/15) South Africa : 13% (2/15) Fiji : 7% (1/15) Ireland : 7% (1/15) Argentina : 7% (1/15),Scotland : 39% (9/23) England : 26% (6/23) South Africa : 17% (4/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23),Edinburgh,880 kg (110.00 kg),29 ans,25 ans,196 cm,Wales : 67% (10/15) South Africa : 27% (4/15) Australia : 7% (1/15),Wales : 74% (17/23) South Africa : 17% (4/23) Australia : 4% (1/23) Scotland : 4% (1/23),Ospreys,Hive Stadium,"Friday, March 1, 2024",20:35,1,1,4,0,2,1,1,0,16,18,22_24_34_73,,46_67,68,11,,19 - 15
