Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
,,,,,,Newcastle,,,,,,,Exeter," Date :  Friday, October 18, 2024 Kick Off : 20:45 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Northampton,,,,,,,Sale," Date :  Friday, October 18, 2024 Kick Off : 20:45 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Bristol,,,,,,,Saracens," Date :  Saturday, October 19, 2024 Kick Off : 16:05 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Harlequins,,,,,,,Bath," Date :  Saturday, October 19, 2024 Kick Off : 18:30 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Leicester,,,,,,,Gloucester," Date :  Sunday, October 20, 2024 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Bristol,,,,,,,Northampton," Date :  Friday, October 25, 2024 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Gloucester,,,,,,,Newcastle," Date :  Saturday, October 26, 2024 Kick Off : 16:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Bath,,,,,,,Sale," Date :  Saturday, October 26, 2024 Kick Off : 16:05 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Saracens,,,,,,,Leicester," Date :  Saturday, October 26, 2024 Kick Off : 18:30 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Exeter,,,,,,,Harlequins," Date :  Sunday, October 27, 2024 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Harlequins,,,,,,,Bristol," Date :  Friday, November 29, 2024 Kick Off : 20:45 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Newcastle,,,,,,,Saracens," Date :  Friday, November 29, 2024 Kick Off : 20:45 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Northampton,,,,,,,Gloucester," Date :  Saturday, November 30, 2024 Kick Off : 16:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Bath,,,,,,,Exeter," Date :  Saturday, November 30, 2024 Kick Off : 18:45 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:45 PM
,,,,,,Sale,,,,,,,Leicester," Date :  Sunday, December 1, 2024 Kick Off : 16:00 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Gloucester,,,,,,,Harlequins," Date :  Friday, December 20, 2024 Kick Off : 20:45 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Leicester,,,,,,,Bristol," Date :  Saturday, December 21, 2024 Kick Off : 16:05 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Newcastle,,,,,,,Bath," Date :  Saturday, December 21, 2024 Kick Off : 18:30 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Sale,,,,,,,Exeter," Date :  Saturday, December 21, 2024 Kick Off : 18:30 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Saracens,,,,,,,Northampton," Date :  Sunday, December 22, 2024 Kick Off : 16:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Bristol,,,,,,,Sale," Date :  Friday, December 27, 2024 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Bath,,,,,,,Saracens," Date :  Saturday, December 28, 2024 Kick Off : 13:45 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,1:45 PM
,,,,,,Northampton,,,,,,,Newcastle," Date :  Saturday, December 28, 2024 Kick Off : 16:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Harlequins,,,,,,,Leicester," Date :  Saturday, December 28, 2024 Kick Off : 19:00 Venue : Twickenham Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,7:00 PM
,,,,,,Exeter,,,,,,,Gloucester," Date :  Sunday, December 29, 2024 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Newcastle,,,,,,,Harlequins," Date :  Friday, January 3, 2025 Kick Off : 20:45 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Gloucester,,,,,,,Sale," Date :  Saturday, January 4, 2025 Kick Off : 16:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Leicester,,,,,,,Exeter," Date :  Saturday, January 4, 2025 Kick Off : 16:05 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Saracens,,,,,,,Bristol," Date :  Saturday, January 4, 2025 Kick Off : 18:30 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Northampton,,,,,,,Bath," Date :  Sunday, January 5, 2025 Kick Off : 16:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Sale,,,,,,,Bath," Date :  Saturday, January 25, 2025 Kick Off : 00:00 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Harlequins,,,,,,,Northampton," Date :  Saturday, January 25, 2025 Kick Off : 00:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Gloucester,,,,,,,Leicester," Date :  Saturday, January 25, 2025 Kick Off : 00:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Exeter,,,,,,,Saracens," Date :  Saturday, January 25, 2025 Kick Off : 00:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Bristol,,,,,,,Newcastle," Date :  Saturday, January 25, 2025 Kick Off : 00:00 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Northampton,,,,,,,Leicester," Date :  Saturday, March 22, 2025 Kick Off : 00:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Newcastle,,,,,,,Sale," Date :  Saturday, March 22, 2025 Kick Off : 00:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Bristol,,,,,,,Exeter," Date :  Saturday, March 22, 2025 Kick Off : 00:00 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Bath,,,,,,,Gloucester," Date :  Saturday, March 22, 2025 Kick Off : 00:00 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Saracens,,,,,,,Harlequins," Date :  Saturday, March 22, 2025 Kick Off : 16:05 Venue : Tottenham Hotspur Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Sale,,,,,,,Northampton," Date :  Saturday, March 29, 2025 Kick Off : 00:00 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Leicester,,,,,,,Saracens," Date :  Saturday, March 29, 2025 Kick Off : 00:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Gloucester,,,,,,,Bristol," Date :  Saturday, March 29, 2025 Kick Off : 00:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Exeter,,,,,,,Newcastle," Date :  Saturday, March 29, 2025 Kick Off : 00:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Bath,,,,,,,Harlequins," Date :  Saturday, March 29, 2025 Kick Off : 00:00 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Saracens,,,,,,,Gloucester," Date :  Saturday, April 19, 2025 Kick Off : 00:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Newcastle,,,,,,,Northampton," Date :  Saturday, April 19, 2025 Kick Off : 00:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Harlequins,,,,,,,Sale," Date :  Saturday, April 19, 2025 Kick Off : 00:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,Exeter,,,,,,,Bath," Date :  Saturday, April 19, 2025 Kick Off : 00:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
